START,END
11155000,11160000
8700000,8710000
11780000,11790000
18400000,18410000
19900000,19910000
114560000,114570000
129190000,129205000
10140000,10160000
13500000,13520000
13650000,13670000
19540000,19560000
64800000,64820000
109130000,109150000
153180000,153200000
128730000,128765000
133880000,133920000
153020000,153060000
109650000,109695000
2510000,2560000
106900000,106960000
133620000,133680000
14045000,14110000
139155000,139220000
9980000,10050000
102720000,102790000
130040000,130110000
99940000,100020000
153980000,154060000
46410000,46500000
114790000,114880000
108870000,108970000
71240000,71345000
17600000,17710000
23800000,23910000
102600000,102715000
152815000,152930000
53340000,53460000
15360000,15485000
17260000,17390000
135110000,135240000
21850000,21990000
129530000,129670000
47230000,47380000
13090000,13250000
16680000,16840000
56590000,56750000
68600000,68760000
73075000,73235000
73605000,73765000
39760000,39930000
100670000,100840000
117770000,117940000
37600000,37780000
39940000,40120000
70600000,70780000
11550000,11740000
128860000,129050000
23710000,23920000
135795000,136005000
102200000,102420000
117980000,118200000
149940000,150160000
13530000,13760000
30290000,30520000
45370000,45600000
50430000,50660000
101850000,102080000
115575000,115810000
67410000,67680000
43810000,44090000
48500000,48800000
105720000,106020000
24850000,25160000
64880000,65200000
108725000,109080000
19390000,19750000
68045000,68440000
69980000,70390000
18910000,19350000
40510000,40970000
68040000,68500000
16460000,17060000
102460000,103070000
31050000,31670000
108720000,109380000
109400000,110090000
7960000,8770000
8780000,9660000
1765000,2730000
10580000,11545000
20540000,21750000
147130000,148550000
129320000,130760000
38030000,39590000
13525000,15160000
69310000,73350000
135340000,150250000
47050000,101050000
24770000,107020000
19380000,110095000
