START	END
284128	374188
1220558	388521
1257822	1257788
1365737	1365721
1573175	1510921
1700164	1573178
1710406	1710423
1767574	1767584
1771232	1771227
1792230	1792285
2151424	2151449
2202735	2202783
2270569	2418311
2511442	2511399
2533025	2527411
2545416	2533029
2562716	2562669
2570252	2570274
2730569	2625485
2737681	2737675
2793950	2793955
2807787	2807791
2953881	2831250
3035798	3035814
3466823	3466805
3556407	3556426
3569395	3569406
3730133	3707116
3858124	3730159
3880573	3858139
4465383	4465367
5031299	5795399
5795439	5939453
5939478	6987114
6987131	7050584
7066342	7066619
7089062	7089097
7109966	7110015
7152208	7152216
7504250	7504266
7674180	7674186
7894013	7894009
7909811	7909804
7964576	7964557
8706746	8706748
8711270	8711283
8716980	8716989
8751170	8751169
8783602	8783593
8784916	8784969
8787300	8789257
8789269	8813174
8837060	8818070
8847918	8837061
8939253	8939271
9281346	9281321
9534317	9431027
9650549	9650571
9677109	9677121
9692878	9692891
9842090	9842067
9850939	9850970
9853286	9853292
9903531	9956929
9963887	9963922
9983832	10051348
10051348	10087612
10157740	10157720
10158514	10158515
10222863	10222891
10294758	10294782
10566005	10412362
10584070	10584079
10604492	10604496
10690904	10690932
10693228	10693218
10724563	10724576
10737301	10737323
11058623	11058606
11118404	11118418
11118969	11118990
11155751	11155767
11162447	11162468
11399670	11399684
11445516	11445592
11478558	11549457
11549468	11551358
11577178	11577176
11742622	11696444
11776552	11742644
11788475	11776552
11792758	11788486
11805706	11792768
11926600	11805723
11962698	11962720
11985912	11985916
12094246	12094257
12098474	12098481
12156803	12156813
12337230	12287679
12401442	12401429
12459939	12459946
12465572	12465594
12586076	12586078
12719865	12719870
12720666	12720704
12788692	12788674
12789717	12789701
12832655	12832651
12912313	12912315
12919701	12919705
12964981	12964992
12988873	12988892
13272660	13272673
13490805	13490875
13506392	13506383
13524811	13524818
13617101	13617108
13664259	13664275
13676852	13676868
13707222	13709065
13766075	13766087
13768417	13768432
13797284	13797264
14050622	13916296
14057536	14050642
14113871	14057552
14546872	14113880
14715678	14634120
14730292	14715681
14940710	14730344
14982735	14940728
15077706	15077732
15161543	15161556
15164766	15164742
15261136	15261143
15318181	15318190
15367265	15367273
15401029	15401046
15486190	15486207
15489220	15489247
15511692	15511699
15516112	15516103
15583453	15583452
15586496	15586499
15705300	15612591
15779802	15705323
15834326	15779825
15856236	15856220
15867818	15867817
15872397	15872391
15948836	15948817
15991541	15991547
16130674	16130687
16141437	16141443
16230652	16230656
16454806	16452162
16463410	16454815
16596419	16463433
16676720	16682275
16689229	16689226
16713328	16713320
16737895	16737932
16762224	16762218
16825751	16825771
16844422	16844412
16854658	16854673
16901422	16901439
16911020	16911029
17064730	17064744
17101063	17139684
17260695	17179183
17379827	17260716
17393112	17379867
17553455	17393127
17578107	17578156
17609356	17609384
17708311	17708327
17715391	17715382
17763101	17763134
17806668	17806652
17830994	17830994
17963323	17963356
18228701	18228722
18372081	18297281
18396015	18372303
18409170	18396029
18428256	18428265
18440694	18440638
18694728	18694722
18904656	18904649
18913841	18913874
18918036	18918066
18950221	18950217
19003000	19003005
19035519	19035499
19058602	19058612
19140202	19140234
19244121	19244126
19352357	19352355
19353193	19353222
19390422	19390441
19400947	19400954
19551384	19553703
19562910	19562936
19611917	19611927
19757872	19757899
19905741	19905734
19906699	19906721
19922997	19922983
20009248	20009263
20085379	20082191
20145676	20085415
20237039	20145714
20271147	20271135
20460825	20460840
20545661	20545663
20548551	20548544
20613203	20613199
21401000	21400997
21498091	21498104
21726369	21726379
21743688	21743723
21764002	21764015
21857448	21857479
21951334	21950526
21960163	21960161
21994111	21991048
22003512	21994125
22099721	22003517
22154136	22154144
22210910	22210933
22296562	22684655
22684669	22766623
22766634	23026632
23026632	23336345
23336348	23572539
23634608	23634603
23652408	23652422
23712731	23712717
23774370	23774332
23797317	23797322
23801009	23800991
23920049	23920047
23920672	23920683
23926138	23926159
23937843	24043457
24043497	24072401
24072417	24100079
24168539	24168521
24260238	24260279
24277791	24277782
24312857	24312873
24389593	24389592
24413976	24413982
24517207	24517237
24533670	24579370
24579377	24694653
24711542	24711555
24770631	24770640
24856835	24856854
25039079	25039087
25053060	25053103
25162263	25162273
25541787	25460744
25542397	25541809
25739756	25739793
25987254	25987240
26460577	26460565
26667745	26667739
26671823	26670006
26801733	26801698
26936837	26936789
27204894	27204909
27354726	27354725
27417113	27417104
27573723	27573726
27618107	27618136
27638179	27638192
27702032	27702050
27937009	27937036
28605129	28195408
28608644	28608678
28610536	28719434
28820830	28820878
29063047	29063084
29109022	29109067
29250049	29250082
29496892	29496886
29635940	29635977
29705900	29705907
29921589	29921624
29929878	29929892
30078942	30078932
30160167	30160152
30214581	30214589
30293723	30293728
30326418	30326440
30506345	30506368
30522527	30522555
30531511	30531519
30588734	30588744
30636625	30636637
30653843	30653877
30689452	30731199
30753988	30754001
30883244	30883278
30954160	30954167
30989947	30989991
31055102	31055085
31057074	31057085
31232133	31232127
31286546	31286574
31297484	31297457
31442136	31442138
31627313	31627369
31676596	31676619
32264937	32264868
32426629	32426621
32501769	32501770
32549024	32549047
32691364	32691379
33355034	33355019
33452712	33452716
34319100	34319119
34350548	34383718
34596449	34539795
34656370	34596457
34675227	34656391
34911993	34911997
34937075	34937094
35116608	35399032
35744386	35744404
35908860	35908865
36875011	36875023
36885313	36885315
36916487	36916496
36926949	36926970
37079181	37079170
37161928	37161938
37355063	37355118
37368570	37368670
37604719	37604707
37684579	37684607
37765040	37765019
37786058	37786055
38025835	38025849
38034507	38034498
38051358	38051388
38079345	38079360
38119602	38119607
38141374	38141407
38153122	38153115
38163352	38163379
38186821	38186844
38194636	38194647
38235275	38235243
38487041	38487046
38513592	38513597
38523663	38523660
38577219	38577211
38613460	38613487
38627412	38627441
38844723	38665024
39009103	39009103
39011452	39011438
39120736	39120804
39304709	39511686
39564671	39564705
39590079	39590085
39673770	39673724
39756505	39756602
39767601	39873188
40017541	39916793
40028839	40028851
40126366	40126376
40158586	40158572
40356141	40356091
40403240	40383782
40412110	40412128
40433128	40433143
40510977	40510992
40523614	40523613
40595179	40595181
