START,END
102743378,102744781
54069288,54070710
150320239,150321680
95437490,95438954
128739518,128741022
104435061,104436654
50646750,50648438
43417192,43418988
28608678,28610536
148592008,148593879
8787300,8789257
149106772,149108831
130809709,130811781
152915215,152917318
84364349,84366460
149531500,149533676
49603136,49605374
26667745,26670006
108876243,108878525
69672026,69674317
49641476,49643791
9850970,9853286
13766087,13768417
39009103,39011438
133895943,133898367
149849574,149852125
16452162,16454806
65948658,65951360
122967308,122970024
109661560,109664480
15486207,15489220
21991048,21994111
135248466,135251548
20082191,20085379
118138984,118142186
137827515,137830757
139049614,139052958
71238541,71241961
151801038,151804477
130947307,130950815
110408072,110411675
108952582,108956315
118646545,118650319
48897501,48901323
53118537,53122377
139844329,139848272
49680335,49684375
101596923,101600972
151985739,151989809
18913874,18918036
153545864,153550069
12094257,12098474
11788486,11792758
115010485,115014922
77375490,77379943
130897834,130902293
8706748,8711270
131765741,131770297
15867818,15872391
106898464,106903049
56810081,56814679
53273894,53278688
153311967,153316765
110090655,110095521
77280363,77285258
109651491,109656461
128888712,128893758
68042613,68047722
73070322,73075439
118913771,118918943
54474061,54479407
53705725,53711147
23920683,23926138
2527411,2533025
12459946,12465572
53019303,53025024
139133178,139139202
130839013,130845078
40730991,40737213
45602581,45608868
47422120,47428407
130868779,130875158
11155767,11162447
118826212,118832903
119014916,119021673
56753159,56759964
131353453,131360260
106196343,106203204
14050642,14057536
107540654,107547569
9956929,9963887
2730569,2737675
100663461,100670567
115057266,115064491
49518944,49526178
122904419,122911719
12912315,12919701
153755441,153763107
65243101,65250863
38186844,38194636
152639992,152647814
114877358,114885329
29921624,29929878
154277376,154285710
40996946,41005514
70190563,70199342
64105855,64114666
21951334,21960161
113845584,113854438
133852563,133861473
30522555,30531511
67930860,67939824
19553703,19562910
49139242,49148452
149000862,149010093
46763201,46772522
56820004,56829384
16901439,16911020
109389886,109399469
100075215,100084905
118744182,118754095
152726399,152736354
36875023,36885313
99940794,99951195
36916496,36926949
19390441,19400947
152864789,152875381
152084283,152094884
61717670,61728362
16130687,16141437
105647839,105658626
71079634,71090580
39756602,39767601
69482921,69493987
114913925,114925026
77154690,77165901
63138575,63150149
153047917,153059817
119619954,119631980
149119045,149131167
129242552,129254759
13664275,13676852
92677801,92690505
10724576,10737301
3556426,3569395
44763869,44776914
17379867,17393112
37355118,37368570
64801909,64815381
53346767,53360314
52950385,52963987
118603080,118616716
2793955,2807787
117896219,117910112
48998703,49012621
38613487,38627412
40869689,40883628
25039087,25053060
114565241,114579789
14715681,14730292
134185633,134200307
103342946,103358064
84867043,84882468
135793424,135809078
41301538,41317196
9677121,9692878
7050584,7066342
114597494,114613254
7894013,7909804
48963971,48980080
53252610,53268748
102189657,102205961
24517237,24533670
41640855,41657396
24694653,24711542
30636637,30653843
2545416,2562669
21726379,21743688
47382887,47400554
152934833,152952612
148609358,148627167
128656228,128674093
139205706,139223675
152909588,152927757
46414525,46432763
49846322,49864922
133511684,133530331
53323321,53342246
103196271,103215254
8818070,8837060
107244804,107263847
130937176,130956355
153193408,153212860
153009971,153029485
152201083,152220988
27618136,27638179
106117451,106137668
134320118,134340424
10584079,10604492
71497092,71517936
7089097,7109966
40412128,40433128
37765040,37786055
131205385,131226561
80429967,80451297
99870057,99891794
38119607,38141374
15834326,15856220
46246068,46268342
47221713,47244009
41113048,41135496
102944015,102966484
101749608,101772342
49020112,49042857
102096005,102118766
30731199,30753988
3707116,3730133
11962720,11985912
119586128,119609366
117737978,117761385
128788743,128812261
71766015,71789723
18372303,18396015
12964992,12988873
134706498,134730537
16689229,16713320
131850127,131874624
68353880,68378385
62470246,62495111
107443008,107468010
34911997,34937075
41593925,41619188
39564705,39590079
130887275,130912685
134220588,134246219
48803121,48828845
152820343,152846587
118252857,118279216
38487046,38513592
118525342,118551919
100515547,100542504
51357342,51384439
150891061,150918315
73685384,73712862
103072521,103100117
40356141,40383782
47144093,47171861
67682676,67710604
38051388,38079345
87652675,87680848
8784969,8813165
53047980,53076498
24043497,24072401
136007427,136036382
54918125,54947130
133887784,133916928
11776552,11805706
153189609,153218887
103410985,103440276
40943719,40974449
70318273,70349120
135659836,135690785
76852665,76883847
17578156,17609356
34319119,34350548
152901832,152933421
84308095,84339894
117941473,117973364
152773071,152805010
129162292,129194557
139783727,139816025
46513020,46545571
30293728,30326418
11445592,11478558
150849418,150882403
68280650,68313887
100612238,100645817
15367273,15401029
153943297,153977080
99634529,99668325
20237039,20271135
134099486,134133585
146885564,146920064
118673993,118708748
130927175,130962025
109368777,109403792
55515644,55551021
106106374,106141885
48713394,48749036
30954167,30989947
129673772,129709891
64887649,64923845
17064744,17101063
130881264,130917642
117735568,117772055
68607513,68644121
133618173,133654988
152073180,152110214
78668654,78705826
1220558,1257788
46618806,46656132
155049912,155087380
135245104,135282733
70180733,70218417
51163622,51202040
152665654,152704100
73563940,73602625
110924256,110963137
86554682,86593602
105995656,106034832
61691787,61731185
48449957,48489810
77811002,77851476
133388088,133428705
41152659,41193324
123110634,123151980
67416900,67458497
128452438,128494294
54466369,54508292
12789717,12832651
147131079,147174610
109245878,109289412
99864736,99909349
57555206,57600275
68713107,68758181
18904656,18950217
29063084,29109022
119453279,119499224
11696444,11742622
111066398,111112904
139608433,139654959
115028731,115075376
32501770,32549024
107780366,107827951
129278669,129326339
118352323,118400465
147634436,147682648
31627369,31676596
12287679,12337230
105414417,105464289
2151449,2202735
46952791,47004408
101855223,101907390
38523663,38577211
16682275,16737895
149756183,149811851
67310223,67365991
47886156,47942698
34539795,34596449
22154144,22210910
15261143,15318181
1710423,1767574
51546578,51603870
102884987,102942302
40595181,40653357
114194426,114252690
119384569,119443411
130050912,130109977
101323073,101384548
23712731,23774332
129402760,129464692
1510921,1573175
27354726,27417104
154146347,154209192
68442066,68505907
137210300,137274243
135354624,135418913
10158515,10222863
20548551,20613199
119219695,119284343
107315336,107382673
15516112,15583452
134841724,134909096
9983832,10051348
53313903,53381660
102719784,102788446
119514699,119584111
79834119,79903618
29635977,29705900
117388693,117459488
1700164,1771227
83100522,83171630
149582479,149654393
44732727,44805117
48433299,48506738
52014456,52088638
130128756,130202962
146557649,146631858
15705323,15779802
15511699,15586496
118788082,118863957
117593571,117670767
106268882,106346297
55084182,55161698
132832412,132910216
150172675,150250910
118328723,118407548
99623263,99702906
114381913,114461563
86838782,86919483
45374501,45455524
25460744,25541787
30078942,30160152
17179183,17260695
19058612,19140202
22684669,22766623
30506368,30588734
131426909,131510036
15077732,15161543
20460840,20545661
16676720,16762218
90669840,90755642
43609746,43695762
24770640,24856835
106785864,106872848
14546872,14634120
71131169,71219059
108628161,108716625
128771574,128860446
111885679,111975122
61734044,61823944
13617108,13707222
65330110,65421332
21764015,21857448
69549601,69643049
102503663,102598152
130767640,130862751
8751170,8847908
46404805,46501668
57848269,57945604
40028851,40126366
111292038,111390552
105120770,105219455
73353362,73452825
54566815,54666362
42474454,42574749
139900220,140000613
